,strategy
1991-05-31,1.106692421355112
1991-06-03,1.0880499900774463
1991-06-04,1.0863698437717253
1991-06-05,1.0713827473310042
1991-06-06,1.0634030820308562
1991-06-07,1.0419792498751899
1991-06-10,1.0376451403453926
1991-06-11,1.0493674462652103
1991-06-12,1.0280645313006163
1991-06-13,1.0325399589153383
1991-06-14,1.0557849590486417
1991-06-17,1.0434512966455576
1991-06-18,1.0341533997349375
1991-06-19,1.0147906918206917
1991-06-20,1.0163227203661624
1991-06-21,1.028152824914319
1991-06-24,0.992297717325729
1991-06-25,0.9910626666868189
1991-06-26,0.9952067931006283
1991-06-27,1.0074625127292283
1991-06-28,0.9930613802681117
1991-07-01,1.01912418839914
1991-07-02,1.017322651997155
1991-07-03,0.9988935002485161
1991-07-05,1.0016020323437882
1991-07-08,1.017337270167033
1991-07-09,1.0111938902066935
1991-07-10,1.0098805430881541
1991-07-11,1.0144778524842304
1991-07-12,1.0294372641558003
1991-07-15,1.0383107826856124
1991-07-16,1.0345523618456443
1991-07-17,1.0329011552187033
1991-07-18,1.0518626271113236
1991-07-19,1.0453652278489167
1991-07-22,1.0375565388544006
1991-07-23,1.0206988770620338
1991-07-24,1.0167652672663219
1991-07-25,1.0286147274594455
1991-07-26,1.0284248118496724
1991-07-29,1.0412817332444182
1991-07-30,1.0613582683612952
1991-07-31,1.074009166994771
1991-08-01,1.061584958084346
1991-08-02,1.0619035986718057
1991-08-05,1.0494698170399874
1991-08-06,1.0791652150137692
1991-08-07,1.0788010704402025
1991-08-08,1.071747302117649
1991-08-09,1.0599395795078963
1991-08-12,1.065047134605462
1991-08-13,1.0743958916864194
1991-08-14,1.0761365434556243
1991-08-15,1.0726771107768949
1991-08-16,1.0503973801661028
1991-08-19,1.00225694842919
1991-08-20,1.0109771426507088
1991-08-21,1.0525167440506817
1991-08-22,1.0565566367053951
1991-08-23,1.074430877040338
1991-08-26,1.072312925805362
1991-08-27,1.0674117534217162
1991-08-28,1.0876045467798645
1991-08-29,1.0865915104999189
1991-08-30,1.0801139541398526
1991-09-03,1.0557877266487787
1991-09-04,1.0457042177998108
1991-09-05,1.0421400674263872
1991-09-06,1.0419596287658557
1991-09-09,1.0395656297496627
1991-09-10,1.0234809112225915
1991-09-11,1.0254735792612317
1991-09-12,1.0342129583201418
1991-09-13,1.0162489422795602
1991-09-16,1.0247872262652278
1991-09-17,1.0236740396279123
1991-09-18,1.0294253631364703
1991-09-19,1.031933904139873
1991-09-20,1.0333871489249706
1991-09-23,1.0247724149384185
1991-09-24,1.0331007452456062
1991-09-25,1.0290347183218942
1991-09-26,1.0270284216030585
1991-09-27,1.0238737514816825
