,tecl
2015-09-24,0.021364395731740003
2015-09-25,0.021250974482185877
2015-09-28,0.019792772276205135
2015-09-29,0.01953241611790244
2015-09-30,0.020696589309239354
2015-10-01,0.020720935272278165
2015-10-02,0.02160088389675883
2015-10-05,0.02287724991315579
2015-10-06,0.02296025220817361
2015-10-07,0.023279105535416966
2015-10-08,0.023600867112355938
2015-10-09,0.023908448132197235
2015-10-12,0.02399387975555006
2015-10-13,0.023836867760322386
2015-10-14,0.02369781051835728
2015-10-15,0.024607807876617954
2015-10-16,0.02474773805260246
2015-10-19,0.025029727588604382
2015-10-20,0.02483260757356059
2015-10-21,0.02426419028783962
2015-10-22,0.025904036715668936
2015-10-23,0.028071773667510395
2015-10-26,0.027743922153015535
2015-10-27,0.027266138645072897
2015-10-28,0.028489790887345327
2015-10-29,0.028255773647613835
2015-10-30,0.027695124371261485
2015-11-01,0.027686815833950107
2015-11-02,0.028427744859721927
2015-11-03,0.028871925395982184
2015-11-04,0.028968529492990645
2015-11-05,0.02871236755241261
2015-11-06,0.029003517864625496
2015-11-09,0.028158494435395618
2015-11-10,0.02759937079899863
2015-11-11,0.02756022857422127
2015-11-12,0.02683843514759317
2015-11-13,0.025253818467823947
2015-11-16,0.026414992097041894
2015-11-17,0.026432277753637046
2015-11-18,0.02762900142632411
2015-11-19,0.028007348232216057
2015-11-20,0.02861886498221362
2015-11-23,0.028112619096469303
2015-11-24,0.0281305974504563
2015-11-25,0.027860606312172128
2015-11-27,0.028050195142272995
2015-11-30,0.02814482115867882
2015-12-01,0.02887576060666297
2015-12-02,0.028327643799284895
2015-12-03,0.0272272714682697
2015-12-04,0.029235292484675483
2015-12-07,0.02880109110211548
2015-12-08,0.028585602238383735
2015-12-09,0.027324385596536452
2015-12-10,0.027548897029715854
2015-12-11,0.025827088625326247
2015-12-14,0.026423377025425188
2015-12-15,0.026771455596862268
2015-12-16,0.02786418061760231
2015-12-17,0.02654940508971278
2015-12-18,0.025003605572094592
2015-12-21,0.025767419900049632
2015-12-22,0.026328834618629535
2015-12-23,0.02699038321384516
2015-12-24,0.026951807433284465
2015-12-28,0.026894583457965904
2015-12-29,0.027994847347410652
2015-12-30,0.02728435377177243
2015-12-31,0.026133805875342933
2016-01-01,0.02611159214034889
2016-01-04,0.025086237431882593
2016-01-05,0.024889317305864044
2016-01-06,0.023967303439675045
2016-01-07,0.021842377428416847
2016-01-08,0.021322546497168186
2016-01-11,0.021736492251750086
2016-01-12,0.022511280830263252
2016-01-13,0.020690899466509125
2016-01-14,0.021861791035264665
2016-01-15,0.020013823725422014
2016-01-19,0.02007402678906561
2016-01-20,0.01959910575169768
2016-01-21,0.0199293679505897
2016-01-22,0.021587171877812464
2016-01-25,0.020832465570064507
2016-01-26,0.021442306001422662
