,spxl_simulation
1935-04-03,125.90841592330831
1935-04-04,129.91221622412192
1935-04-05,139.45711823891466
1935-04-08,139.45149585707262
1935-04-09,147.06964568497824
1935-04-10,145.08962719108987
1935-04-11,142.63844693250374
1935-04-12,147.4678978824925
1935-04-15,156.35945698965728
1935-04-16,109.59944916288718
1935-04-17,141.19487171096864
1935-04-18,147.30083298395976
1935-04-22,160.34890692439683
1935-04-23,161.87606624186833
1935-04-24,155.69630019880225
1935-04-25,161.7040432941154
1935-04-26,159.64196412828758
1935-04-29,159.12603233985334
1935-04-30,155.49253480494446
1935-05-01,152.91460707368267
1935-05-02,154.89649770020952
1935-05-03,162.4095003223471
1935-05-06,162.4029525875515
1935-05-07,160.32757769523826
1935-05-08,174.16603265186183
1935-05-09,176.3248061629788
1935-05-10,179.59308081206922
1935-05-13,182.3488107745426
1935-05-14,182.89966980763677
1935-05-15,183.4516221943196
1935-05-16,145.89455599773652
1935-05-17,187.0261554461269
1935-05-20,180.292399880524
1935-05-21,185.2071683811148
1935-05-22,189.6535813315963
1935-05-23,190.2115025587862
1935-05-24,187.37049478852205
1935-05-27,187.92393022649804
1935-05-28,177.79881423331173
1935-05-29,169.12733836109433
1935-05-31,165.2845887052281
1935-06-01,165.22260698446362
1935-06-03,169.87253288032892
1935-06-04,183.0409065663692
1935-06-05,182.47997592283002
1935-06-06,178.6057375953904
1935-06-07,181.86571501650897
1935-06-10,189.02278983615864
1935-06-11,194.66889168201538
1935-06-12,190.62545923935596
1935-06-13,194.02856744943807
1935-06-14,199.77257995727533
1935-06-17,199.7645258848818
1935-06-18,203.27482973595306
1935-06-19,200.30056204781155
1935-06-20,195.59335326870703
1935-06-21,208.88196165292567
1935-06-24,214.30688614816938
1935-06-25,205.0873484222487
1935-06-26,197.9248702498742
1935-06-27,195.0062308135093
1935-06-28,200.1857267662321
1935-06-30,202.35467581590967
1935-07-01,204.64197849699553
1935-07-02,205.23093232633335
1935-07-03,208.81270365731822
1935-07-05,216.06733568343324
1935-07-08,224.10697814649814
1935-07-09,220.9266178410552
1935-07-10,225.943529712611
1935-07-11,218.9201811284121
1935-07-12,225.15432604212083
